cik	companyname	adsh	date	tag	label	value	report	datatype
1140859	AMERISOURCEBERGEN CORP	0001140859-21-000058	20200930	EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate	Tax law changes	0.0680	https://www.sec.gov/Archives/edgar/data/1140859/000114085921000058/R59.htm	percent	
21510	COHERENT INC	0000021510-21-000060	20190930	EffectiveIncomeTaxRateReconciliationReversalOfCompetentAuthorityAmount	Reversal of competent authority	0.0000	https://www.sec.gov/Archives/edgar/data/21510/000002151021000060/R101.htm	monetary	
857005	PTC INC.	0001564590-21-057806	20190930	EffectiveIncomeTaxRateReconciliationPermanentDomesticItemsAmount	U.S. permanent items	2483000.0000	https://www.sec.gov/Archives/edgar/data/857005/000156459021057806/R62.htm	monetary	
1493594	MACOM TECHNOLOGY SOLUTIONS HOLDINGS, INC.	0001493594-21-000079	20190930	EffectiveIncomeTaxRateContinuingOperations	Effective income tax rate	0.0930	https://www.sec.gov/Archives/edgar/data/1493594/000149359421000079/R95.htm	percent	
1024478	ROCKWELL AUTOMATION, INC	0001024478-21-000083	20190930	EffectiveIncomeTaxReconciliationRepatriationofForeignEarningsandDeemedIncomeNetofRelatedCreditsPercentage	Repatriation of foreign earnings	0.0280	https://www.sec.gov/Archives/edgar/data/1024478/000102447821000083/R102.htm	percent	
897723	SANMINA CORP	0000897723-21-000028	20190930	EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent	Other	0.0068	https://www.sec.gov/Archives/edgar/data/897723/000089772321000028/R68.htm	percent	
1002517	NUANCE COMMUNICATIONS, INC.	0001002517-21-000052	20210930	EffectiveIncomeTaxRateReconciliationDebtRepurchasesAmount	Debt repurchases	-5050000.0000	https://www.sec.gov/Archives/edgar/data/1002517/000100251721000052/R106.htm	monetary	
1308547	DOLBY LABORATORIES, INC.	0001628280-21-023630	20200930	UnrecognizedTaxBenefits	Unrecognized Tax Benefits	60691000.0000	https://www.sec.gov/Archives/edgar/data/1308547/000162828021023630/R89.htm	monetary	
1118417	MODEL N, INC.	0001118417-21-000166	20200930	IncomeTaxReconciliationPermanentDifferences	Permanent differences	-195000.0000	https://www.sec.gov/Archives/edgar/data/1118417/000111841721000166/R74.htm	monetary	
785786	PLEXUS CORP	0000785786-21-000082	20200930	EffectiveIncomeTaxRateReconciliationAuditSettlementsPercent	Audit settlements	0.0000	https://www.sec.gov/Archives/edgar/data/785786/000078578621000082/R59.htm	percent	
1378992	BERRY GLOBAL GROUP, INC.	0001140361-21-038583	20190930	EffectiveIncomeTaxRateReconciliationPermanentForeignCurrencyDifferencesAmount	Permanent foreign currency differences	0.0000	https://www.sec.gov/Archives/edgar/data/1378992/000114036121038583/R53.htm	monetary	
1368458	SALLY BEAUTY HOLDINGS, INC.	0001564590-21-057810	20200930	EffectiveIncomeTaxRateContinuingOperations	Effective tax rate	0.2920	https://www.sec.gov/Archives/edgar/data/1368458/000156459021057810/R85.htm	percent	
1424404	WOLVERINE TECHNOLOGIES CORP.	0001062993-21-011036	20200531	IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance	Valuation allowance change	61355.0000	https://www.sec.gov/Archives/edgar/data/1424404/000106299321011036/R27.htm	monetary	
1613665	GREAT WESTERN BANCORP, INC.	0001613665-21-000052	20200930	EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount	Tax impact of stock-based compensation plans	83000.0000	https://www.sec.gov/Archives/edgar/data/1613665/000161366521000052/R104.htm	monetary	
1744489	WALT DISNEY CO	0001744489-21-000220	20210930	EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes	State taxes, net of federal benefit	0.0190	https://www.sec.gov/Archives/edgar/data/1744489/000174448921000220/R92.htm	percent	
879407	ARROWHEAD PHARMACEUTICALS, INC.	0001564590-21-057888	20210930	EffectiveIncomeTaxRateReconciliationTrueUpOnDeferredTaxRate	True-up on deferred taxes	0.0000	https://www.sec.gov/Archives/edgar/data/879407/000156459021057888/R51.htm	percent	
50725	GRIFFON CORP	0000050725-21-000068	20210930	EffectiveIncomeTaxRateReconciliationNondeductibleNontaxableItemsNet	Other non-deductible/non-taxable items, net	0.0040	https://www.sec.gov/Archives/edgar/data/50725/000005072521000068/R82.htm	pure	
2969	AIR PRODUCTS & CHEMICALS INC /DE/	0000002969-21-000055	20200930	EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitPercent	Share-based compensation	-0.0080	https://www.sec.gov/Archives/edgar/data/2969/000000296921000055/R128.htm	percent	
857005	PTC INC.	0001564590-21-057806	20200930	EffectiveIncomeTaxReconciliationForeignDerivedIntangibleIncomePercent	Foreign-Derived Intangible Income (FDII)	-0.0200	https://www.sec.gov/Archives/edgar/data/857005/000156459021057806/R62.htm	percent	
794172	MERIDIAN BIOSCIENCE INC	0001193125-21-337663	20200930	EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential	Foreign tax rate differences, rate	-0.0090	https://www.sec.gov/Archives/edgar/data/794172/000119312521337663/R63.htm	percent	
1493594	MACOM TECHNOLOGY SOLUTIONS HOLDINGS, INC.	0001493594-21-000079	20200930	EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate	Federal statutory rate	0.2100	https://www.sec.gov/Archives/edgar/data/1493594/000149359421000079/R95.htm	percent	
794172	MERIDIAN BIOSCIENCE INC	0001193125-21-337663	20210930	IncomeTaxReconciliationTaxCreditsForeign	Foreign tax credit	7802000.0000	https://www.sec.gov/Archives/edgar/data/794172/000119312521337663/R63.htm	monetary	
854775	DIGI INTERNATIONAL INC	0000854775-21-000018	20190930	EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount	ASU 2016-09 excess stock compensation	-56000.0000	https://www.sec.gov/Archives/edgar/data/854775/000085477521000018/R79.htm	monetary	
1353970	CHINA XD PLASTICS CO LTD	0001493152-21-028658	20191231	EffectiveIncomeTaxRateReconciliationNondeductibleExpense	Non-deductible expenses	0.1000	https://www.sec.gov/Archives/edgar/data/1353970/000149315221028658/R96.htm	percent	
807882	JACK IN THE BOX INC /NEW/	0000807882-21-000016	20210930	EffectiveIncomeTaxRateContinuingOperations	Effective tax rate	0.2520	https://www.sec.gov/Archives/edgar/data/807882/000080788221000016/R77.htm	percent	
1613665	GREAT WESTERN BANCORP, INC.	0001613665-21-000052	20200930	IncomeTaxReconciliationNondeductibleExpenseImpairmentLosses	Tax impact of goodwill impairment	131051000.0000	https://www.sec.gov/Archives/edgar/data/1613665/000161366521000052/R104.htm	monetary	
913760	STONEX GROUP INC.	0000913760-21-000189	20210930	EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate	Income tax rate change	-0.0120	https://www.sec.gov/Archives/edgar/data/913760/000091376021000189/R104.htm	percent	
1493594	MACOM TECHNOLOGY SOLUTIONS HOLDINGS, INC.	0001493594-21-000079	20200930	EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance	Change in valuation allowance	-0.6050	https://www.sec.gov/Archives/edgar/data/1493594/000149359421000079/R95.htm	percent	
1002517	NUANCE COMMUNICATIONS, INC.	0001002517-21-000052	20200930	IncomeTaxReconciliationChangeInDomesticAndForeignValuationAllowance	Change in U.S. and foreign valuation allowance	-27050000.0000	https://www.sec.gov/Archives/edgar/data/1002517/000100251721000052/R106.htm	monetary	
731802	ATMOS ENERGY CORP	0000731802-21-000040	20210930	IncomeTaxReconciliationChangeInEnactedTaxRate	Remeasurement due to state deferred tax rate change	0.0000	https://www.sec.gov/Archives/edgar/data/731802/000073180221000040/R92.htm	monetary	
1744489	WALT DISNEY CO	0001744489-21-000220	20210930	EffectiveIncomeTaxRateReconciliationForeignDerivedIntangibleIncome	Foreign Derived Income	-0.0640	https://www.sec.gov/Archives/edgar/data/1744489/000174448921000220/R92.htm	monetary	
857005	PTC INC.	0001564590-21-057806	20210930	IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate	Statutory federal income tax rate	82268000.0000	https://www.sec.gov/Archives/edgar/data/857005/000156459021057806/R62.htm	monetary	
1782754	AZEK CO INC.	0001564590-21-057997	20190930	EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes	State and local taxes  net of federal benefit	0.0280	https://www.sec.gov/Archives/edgar/data/1782754/000156459021057997/R88.htm	percent	
1048695	F5, INC.	0001048695-21-000044	20210930	IncomeTaxExpenseBenefit	Income taxes (benefit)	55696000.0000	https://www.sec.gov/Archives/edgar/data/1048695/000104869521000044/R75.htm	monetary	
50725	GRIFFON CORP	0000050725-21-000068	20210930	EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate	Impact of foreign rate change on deferred tax balances	0.0280	https://www.sec.gov/Archives/edgar/data/50725/000005072521000068/R82.htm	percent	
63296	MATTHEWS INTERNATIONAL CORP	0000063296-21-000107	20200930	EffectiveIncomeTaxRateReconciliationNondeductibleExpenseTerminationOfSupplementalRetirementPlanPercent	Termination of SERP	0.0000	https://www.sec.gov/Archives/edgar/data/63296/000006329621000107/R86.htm	percent	
807882	JACK IN THE BOX INC /NEW/	0000807882-21-000016	20210930	EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent	Other, net	0.0000	https://www.sec.gov/Archives/edgar/data/807882/000080788221000016/R77.htm	percent	
785786	PLEXUS CORP	0000785786-21-000082	20210930	EffectiveIncomeTaxRateReconciliationRepatriationOfForeignEarnings	Deemed repatriation tax	0.0000	https://www.sec.gov/Archives/edgar/data/785786/000078578621000082/R59.htm	percent	
857005	PTC INC.	0001564590-21-057806	20210930	IncomeTaxReconciliationOtherAdjustments	Other, net	71000.0000	https://www.sec.gov/Archives/edgar/data/857005/000156459021057806/R62.htm	monetary	
785956	J&J SNACK FOODS CORP	0001437749-21-027317	20190930	IncomeTaxReconciliationRepatriationOfForeignEarnings	One-time repatriation tax	885000.0000	https://www.sec.gov/Archives/edgar/data/785956/000143774921027317/R59.htm	monetary	
21510	COHERENT INC	0000021510-21-000060	20210930	IncomeTaxExpenseBenefit	Provision for (benefit from) income taxes	-8787000.0000	https://www.sec.gov/Archives/edgar/data/21510/000002151021000060/R101.htm	monetary	
1002517	NUANCE COMMUNICATIONS, INC.	0001002517-21-000052	20200930	EffectiveIncomeTaxRateReconciliationExecutiveCompensationAmount	Executive compensation	6445000.0000	https://www.sec.gov/Archives/edgar/data/1002517/000100251721000052/R106.htm	monetary	
879407	ARROWHEAD PHARMACEUTICALS, INC.	0001564590-21-057888	20200930	EffectiveIncomeTaxRateReconciliationDeductionsStockCompensationPercent	Stock compensation	-0.1330	https://www.sec.gov/Archives/edgar/data/879407/000156459021057888/R51.htm	percent	
1670541	ADIENT PLC	0001670541-21-000133	20190930	IncomeTaxReconciliationOtherAdjustments	Other	-3000000.0000	https://www.sec.gov/Archives/edgar/data/1670541/000167054121000133/R97.htm	monetary	
1613665	GREAT WESTERN BANCORP, INC.	0001613665-21-000052	20200930	IncomeTaxReconciliationOtherAdjustments	Other	719000.0000	https://www.sec.gov/Archives/edgar/data/1613665/000161366521000052/R104.htm	monetary	
884614	UGI CORP /PA/	0000884614-21-000065	20210930	EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential	Effects of foreign operations	0.0460	https://www.sec.gov/Archives/edgar/data/884614/000088461421000065/R85.htm	percent	
794172	MERIDIAN BIOSCIENCE INC	0001193125-21-337663	20190930	IncomeTaxReconciliationTaxCreditsForeign	Foreign tax credit	990000.0000	https://www.sec.gov/Archives/edgar/data/794172/000119312521337663/R63.htm	monetary	
1604643	EVOQUA WATER TECHNOLOGIES CORP.	0001604643-21-000094	20210930	IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance	Valuation allowances	-854000.0000	https://www.sec.gov/Archives/edgar/data/1604643/000160464321000094/R114.htm	monetary	
785786	PLEXUS CORP	0000785786-21-000082	20190930	EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate	Federal statutory income tax rate	0.2100	https://www.sec.gov/Archives/edgar/data/785786/000078578621000082/R59.htm	percent	
1140859	AMERISOURCEBERGEN CORP	0001140859-21-000058	20210930	EffectiveIncomeTaxRateReconciliationTaxSettlements	Litigation settlements and accruals (see Note 14)	0.0080	https://www.sec.gov/Archives/edgar/data/1140859/000114085921000058/R59.htm	percent	
10795	BECTON DICKINSON & CO	0000010795-21-000091	20210930	EffectiveIncomeTaxRateReconciliationTaxCutsAndJobsActOf2017Percent	U.S. tax legislation (see discussion above)	0.0000	https://www.sec.gov/Archives/edgar/data/10795/000001079521000091/R94.htm	pure	
794172	MERIDIAN BIOSCIENCE INC	0001193125-21-337663	20200930	IncomeTaxExpenseBenefit	Income Tax Provision	13107000.0000	https://www.sec.gov/Archives/edgar/data/794172/000119312521337663/R63.htm	monetary	
807882	JACK IN THE BOX INC /NEW/	0000807882-21-000016	20210930	EffectiveIncomeTaxRateReconciliationDeductionsOther	Benefit related to COLIs	0.0150	https://www.sec.gov/Archives/edgar/data/807882/000080788221000016/R77.htm	percent	
1314727	SONOS INC	0001314727-21-000039	20200930	IncomeTaxExpenseBenefit	Provision for income taxes	32000.0000	https://www.sec.gov/Archives/edgar/data/1314727/000131472721000039/R69.htm	monetary	
859737	HOLOGIC INC	0000859737-21-000023	20200930	EffectiveIncomeTaxRateReconciliationTaxCutsAndJobsActOf2017Percent	Tax reform	0.0000	https://www.sec.gov/Archives/edgar/data/859737/000085973721000023/R83.htm	pure	
887733	CENTRAL GARDEN & PET CO	0000887733-21-000016	20210930	EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitPercent	Stock based compensation	-0.0140	https://www.sec.gov/Archives/edgar/data/887733/000088773321000016/R85.htm	percent	
1346022	ENERTOPIA CORP.	0001062993-21-010561	20210831	IncomeLossAttributableToParent	Income (loss) before taxes	-389368.0000	https://www.sec.gov/Archives/edgar/data/1346022/000106299321010561/R39.htm	monetary	
1732845	WESTROCK CO	0001564590-21-057778	20210930	EffectiveIncomeTaxRateReconciliationTaxCreditResearchAndDevelopmentAndOtherTaxCreditsPercent	Research and development and other tax credits, net of reserves	-0.0050	https://www.sec.gov/Archives/edgar/data/1732845/000156459021057778/R78.htm	percent	
1584509	ARAMARK	0001584509-21-000256	20200930	EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential	Foreign taxes	-0.0050	https://www.sec.gov/Archives/edgar/data/1584509/000158450921000256/R95.htm	percent	
1024478	ROCKWELL AUTOMATION, INC	0001024478-21-000083	20210930	EffectiveIncomeTaxRateReconciliationOtherAdjustments	Other	-0.0050	https://www.sec.gov/Archives/edgar/data/1024478/000102447821000083/R102.htm	percent	
859737	HOLOGIC INC	0000859737-21-000023	20210930	EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential	Foreign rate differential	0.0070	https://www.sec.gov/Archives/edgar/data/859737/000085973721000023/R83.htm	percent	
1782754	AZEK CO INC.	0001564590-21-057997	20200930	IncomeTaxExpenseBenefitPercent	Income tax expense (benefit) / effective tax rate	0.0630	https://www.sec.gov/Archives/edgar/data/1782754/000156459021057997/R88.htm	percent	
1378992	BERRY GLOBAL GROUP, INC.	0001140361-21-038583	20210930	IncomeTaxReconciliationChangeInEnactedTaxRate	Tax law changes	11000000.0000	https://www.sec.gov/Archives/edgar/data/1378992/000114036121038583/R53.htm	monetary	
108312	WOODWARD, INC.	0001564590-21-057773	20190930	EffectiveIncomeRateReconciliationTransitionTax2017TaxAct	Transition Tax	0.0330	https://www.sec.gov/Archives/edgar/data/108312/000156459021057773/R119.htm	percent	
1048695	F5, INC.	0001048695-21-000044	20200930	IncomeTaxReconciliationForeignIncomeTaxRateDifferential	Tax impact of foreign operations	-7693000.0000	https://www.sec.gov/Archives/edgar/data/1048695/000104869521000044/R75.htm	monetary	
